UnitName,Power_dyn,Power_leak
T1_Unit_0_0,0.0001441330342887378,0.0025134925530215613
T1_Unit_0_1,0.013072136953797414,0.0030341431048266174
T1_Unit_0_2,0.00017502345775573486,0.0008730973618172494
T1_Unit_0_3,0.013987763215701863,0.0003064638723194575
T1_Unit_0_4,0.008890496414923057,0.001575989402599543
T1_Unit_0_5,0.0025718646602312053,0.0030692082092982046
T1_Unit_0_6,0.01413477926854429,0.002558414784734553
T1_Unit_0_7,0.00880555078898121,0.001327770915531155
T1_Unit_0_8,0.0022834977082862745,0.0011514260143345668
T1_Unit_0_9,0.0019064215191281762,0.00256341968830628
T1_Unit_0_10,0.006222428934441703,0.0004109165497658133
T1_Unit_0_11,0.001770458187452002,0.0011677050649108235
T1_Unit_0_12,0.00035299276173372275,0.00039992164479807916
T1_Unit_0_13,0.009182402330077957,0.003009920625854174
T1_Unit_0_14,0.0003585660731951814,0.00029858492053181816
T1_Unit_0_15,0.009547198428305282,0.0035135163465969273
T1_Unit_0_16,0.011840436086745409,0.0012781065076108674
T1_Unit_0_17,0.015549831362048029,0.002251701949763107
T1_Unit_0_18,0.01638315971401443,0.00024840681778837305
T1_Unit_0_19,0.004321626034969222,0.004247478388224439
T1_Unit_0_20,0.007000237523281843,0.002958955029473479
T1_Unit_0_21,0.01198593739255482,0.002594958920137999
T1_Unit_0_22,0.007689363776030361,0.0018242655045210738
T1_Unit_0_23,0.0006517495280221239,0.0026342502958985295
T1_Unit_0_24,0.0073245930225068565,0.002745124944553579
T1_Unit_0_25,0.00958671194124468,0.0031401188689297115
T1_Unit_0_26,0.006525571312751203,0.00428337056840427
T1_Unit_0_27,0.011614241429178163,0.003689943083293269
T1_Unit_0_28,0.006304744810117009,0.004215303996375137
T1_Unit_0_29,0.0021463102586331195,0.0008622557021637936
T1_Unit_0_30,0.0007304189853910897,0.00378939547021093
T1_Unit_0_31,0.010290502290082128,0.003868252444276433
T1_Unit_0_32,0.007372140486045487,0.002157197906253241
T1_Unit_0_33,0.003589226844396333,0.003802354448861059
T1_Unit_0_34,0.009848850943746911,0.0036797107516698476
T1_Unit_0_35,0.0020070963370890696,0.0012046495684386459
T1_Unit_0_36,0.00344254876496901,0.0026736356790869596
T1_Unit_0_37,0.011344527353852725,0.0020943216729526425
T1_Unit_0_38,0.011596258783386668,0.0005599618029036651
T1_Unit_0_39,0.004383964576769018,0.0020950880610482326
T1_Unit_0_40,0.0038688526553069457,0.004015244131292219
T1_Unit_0_41,0.004852978628495286,0.0004547003766104677
T1_Unit_0_42,0.008316894211099454,0.0002072093836220695
T1_Unit_0_43,0.012942399934946627,0.002738600327671964
T1_Unit_0_44,0.0012891078241338888,0.0029991927161567614
T1_Unit_0_45,0.012505201990962833,0.00021351248041512024
T1_Unit_0_46,0.00950128759003676,0.0014916550666763447
T1_Unit_0_47,0.016148101024166507,0.0019328583627398553
T1_Unit_0_48,0.0010780333025533397,2.9017435978834486e-05
T1_Unit_0_49,0.014028783047339186,0.0002671087713548621
T1_Unit_1_0,0.003321259319100083,0.002628617043630427
T1_Unit_1_1,0.007465226452751371,7.129422590794419e-05
T1_Unit_1_2,0.008796884155573769,0.0018939388930014427
T1_Unit_1_3,0.0035956188609307595,0.0011828426459695516
